emoji	keywords
🦤	animal, bird, dodo, extinction, large, ornithology, அழிவு, டோடோ, பறவை, பெரிய, மொரிஷியஸ், விலங்கு
🦥	lazy, sloth, slow, அசையாக்கரடி, சோம்பல், சோம்பேறி, விலங்கு, ஸ்லோத்
🦦	animal, fishing, otter, playful, கீரி, நாய், நீர், நீர்நாய், மீன்பிடித்தல், விலங்கு, விளையாட்டுத்தனம்
🦧	animal, ape, monkey, orangutan, ஏப், ஒராங்குட்டான், குரங்கு, மனிதக்குரங்கு, வாலில்லா, விலங்கு
🦨	animal, skunk, stink, தீயவாடை, முடைவளிமா, விலங்கு, ஸ்கங்க், ஸ்கன்க்
🦩	animal, bird, flamboyant, flamingo, ornithology, tropical, நளினம், நாரை, பறவை, பூநாரை, வெப்பமண்டலம்
🦪	diving, oyster, pearl, உணவு, உயிரினம், ஓயஸ்டர், கடல், சிப்பி, முத்து, வகை, வாழ்
🦫	animal, beaver, dam, teeth, அணை, இனம், எலி, பல், பீவர், விலங்கு
🦬	animal, bison, buffalo, herd, wisent, எருமை, காடு, காட்டு, காட்டெருமை, பைசன், மந்தை, விலங்கு
🦭	animal, lion, ocean, sea, seal, கடல், கடல்நாய், சிங்கம், சீல், விலங்கு
🦮	accessibility, animal, blind, dog, guide, செல்லுதல், நாய், பார்வையற்றோர், வழிகாட்டி
🦯	accessibility, blind, cane, probing, white, கைத்தடி, பார்வையற்றோர், வாக்கிங், ஸ்டிக்
🦺	emergency, safety, vest, அவசர, எமர்ஜென்சி, சூழல், பாதுகாப்பு, மேற்சட்டை, வெஸ்ட்
🦼	accessibility, motorized, wheelchair, இயங்கும், உபகரணம், சக்கர, சேர், நாற்காலி, மின்னாற்றலில், மோட்டார், வீல்
🦽	accessibility, manual, wheelchair, ஆற்றலில், இயங்கும், உபகரணம், சக்கர, சேர், நாற்காலி, மனித, வீல்
🧀	cheese, wedge, கட்டி, சீஸ், பாலாடை, பாலாடைக், பாலேடு
🧁	bakery, cupcake, dessert, sprinkle, sprinkles, sugar, sweet, treat, இனிப்பு, உணவு, கப், கப்கேக், கேக், டெஸர்ட், பேக்கரி
🧂	condiment, flavor, mad, salt, salty, shaker, taste, upset, உணவு, உப்பு, சுவை, சுவையூட்டி, ஷேக்கர்
🧃	beverage, box, juice, straw, sweet, குடிபானப், ஜூஸ், டப்பா, பழச்சாறு, பாக்ஸ், பானம், பெட்டி, ஸ்டிரா, ஸ்ட்ரா
🧄	flavoring, garlic, உணவு, சுவை, பூண்டு, மருந்து, வாசம்
🧅	flavoring, onion, ஆனியன், உணவு, சுவை, வெங்காயம்
🧆	chickpea, falafel, meatball, ஃபலாஃபல், உணவு, உருண்டை, கறி, கொண்டைக்கடலை, ராப், வறுத்த
🧇	breakfast, indecisive, iron, waffle, இரும்பு, உறுதியற்றது, காலையுணவு, வாஃபிள், வேஃபில்
🧈	butter, dairy, கொழுப்பு, சாண்ட்விச், பால், பொருட்கள், பொருள், வெண்ணெய்
🧉	drink, mate, குளிர்பானம், ஜூஸ், பானம், மேட்
🧊	cold, cube, ice, iceberg, ஐஸ், கட்டி, கியூப், குளிர்
🧋	boba, bubble, food, milk, pearl, tea, உணவு, குமிழி, குமிழித், டீ, தேநீர், பபுள், பயணம், பால், போபா, முத்து
🧍	person, stand, standing, நபர், நிமிர்ந்து, நிற்பது, நிற்றல், நில், நேராக
🧍‍♀️	stand, standing, woman, நிற்கும், நிற்பது, பெண்
🧍‍♂️	man, stand, standing, ஆண், நிற்கும், நிற்பது
🧎	knee, kneel, kneeling, knees, person, ஆசனம், தொழுகை, நபர், மண்டியிடல், மண்டியிடுதல், முழங்காலிடுதல், வஜ்ராசனம்
🧎‍♀️	knee, kneel, kneeling, knees, woman, பெண், மண்டியிட்டுள்ள, முழங்காலிடுதல்
🧎‍♀️‍➡️	facing, knee, kneel, kneeling, knees, right, woman
🧎‍♂️	knee, kneel, kneeling, knees, man, ஆண், மண்டியிட்டுள்ள, முழங்காலிடுதல்
🧎‍♂️‍➡️	facing, knee, kneel, kneeling, knees, man, right
🧎‍➡️	facing, knee, kneel, kneeling, knees, person, right
🧑‍⚕️	doctor, health, healthcare, nurse, therapist, worker, அளிப்பவர், சிகிச்சை, சுகாதார, செவிலியர், சேவை, பணியாளர், மருத்துவ, மருத்துவர்
🧑‍⚖️	judge, justice, law, scale, scales, நீதிபதி, மதிப்பீடுகள்
🧑‍✈️	pilot, plane, ஓட்டி, விமான, விமானம்
🧑‍🌾	farmer, gardener, rancher, செய்பவர், தோட்டக்காரர், பணி, பண்ணையில், விவசாயி
🧑‍🍳	chef, cook, சமையல்காரர், செஃப்
🧑‍🍼	baby, feed, feeding, nanny, newborn, nursing, parent, person, அப்பா, அம்மா, குழந்தை, குழந்தைக்கு, தந்தை, தாய், நபர், பாலூட்டுதல், பாலூட்டும்
🧑‍🎓	graduate, student, பட்டதாரி, மாணவர்
🧑‍🎤	actor, entertainer, rock, rockstar, singer, star, கேளிக்கையாளர், நடிகர், நட்சத்திரம், பாடகர்
🧑‍🎨	artist, palette, கலைஞர், வண்ணத்தட்டு
🧑‍🏫	instructor, lecturer, professor, teacher, ஆசிரியர், பயிற்றுவிப்பாளர், பேராசிரியர்
🧑‍🏭	assembly, factory, industrial, worker, சபை, தொழிற்சாலை, தொழிலாளி, தொழில்துறை
🧑‍💻	coder, computer, developer, inventor, software, technologist, கண்டுபிடிப்பாளர், குறிப்பான், டெவெலபர், தொழில், நுட்ப, மென்பொருள், வல்லுநர்
🧑‍💼	architect, busines, business, collar, manager, office, white, worker, அலுவலகப், கட்டிடக்கலை, காலர், பணியாளர், மேலாளர், வணிக, வைட்
🧑‍🔧	electrician, mechanic, plumber, tradesperson, எலக்ட்ரீஷியன், பிளம்பர், மெக்கானிக்
